lr,hidden_dim,epochs,accuracy,precision,recall,f1,TP,TN,FP,FN,time_s
0.001,32,50,0.7474913336982303,0.7316473480857042,0.7706252312245653,0.7506306306306306,4166,4028,1528,1240,1.183269739151001
0.001,32,100,0.7462141944900565,0.7429629629629629,0.7421383647798742,0.7425504349435499,4012,4168,1388,1394,2.351778984069824
0.001,32,200,0.746031746031746,0.729919326552087,0.7698853126156123,0.7493698235505942,4162,4016,1540,1244,4.858551979064941
0.001,64,50,0.7455756248859697,0.7352148121517167,0.756566777654458,0.7457379888777464,4090,4083,1473,1316,1.5094680786132812
0.001,64,100,0.7454844006568144,0.7473524962178517,0.731039585645579,0.7391060407705256,3952,4220,1336,1454,3.0298800468444824
0.001,64,200,0.7453019521985039,0.743661446681581,0.7378838327783944,0.7407613741875582,3989,4181,1375,1417,6.329354286193848
0.001,128,50,0.7434774676153987,0.7346237337192475,0.7512023677395486,0.7428205597219683,4061,4089,1467,1345,2.2492449283599854
0.001,128,100,0.7452107279693486,0.746184284906727,0.732519422863485,0.7392887146457575,3960,4209,1347,1446,4.530155181884766
0.001,128,200,0.7423827768655354,0.74058889303019,0.7351091379948206,0.7378388414407725,3974,4164,1392,1432,8.977521181106567
0.01,32,50,0.7469439883232987,0.7251882272416154,0.7839437661857196,0.7534222222222222,4238,3950,1606,1168,1.3910458087921143
0.01,32,100,0.7465790914066777,0.726864640883978,0.7787643359230485,0.7519199857117342,4210,3974,1582,1196,2.9715678691864014
0.01,32,200,0.7446633825944171,0.7337278106508875,0.7569367369589345,0.7451515979240644,4092,4071,1485,1314,5.291462182998657
0.01,64,50,0.7484035759897829,0.731711585579279,0.7733999260081391,0.7519784172661871,4181,4023,1533,1225,1.5603909492492676
0.01,64,100,0.7475825579273855,0.7283267001211282,0.7785793562708102,0.7526151095216809,4209,3986,1570,1197,3.2300500869750977
0.01,64,200,0.746396642948367,0.7313248766737139,0.7678505364409914,0.7491427540155208,4151,4031,1525,1255,6.424122095108032
0.01,128,50,0.7459405218025907,0.7338925575584508,0.7606363300036996,0.7470251612317195,4112,4065,1491,1294,2.224609851837158
0.01,128,100,0.7478562306148513,0.7272883688919477,0.7819089900110988,0.7536102692101979,4227,3971,1585,1179,4.466450929641724
0.01,128,200,0.7453019521985039,0.7311637778563849,0.7647058823529411,0.7475587703435805,4134,4036,1520,1272,8.987107753753662
