arch,lr,hidden,wd,batch_size,epochs_used,accuracy,precision,recall,f1,TP,TN,FP,FN,time_s
1L,0.005,128,0.0,64,18,0.7428,0.7129,0.8011,0.7545,4331,3812,1744,1075,1.6299
1L,0.005,128,0.0,256,36,0.7437,0.712,0.8065,0.7563,4360,3792,1764,1046,1.7
1L,0.005,128,0.0001,64,22,0.7481,0.725,0.7882,0.7553,4261,3940,1616,1145,1.9897
1L,0.005,128,0.0001,256,41,0.7448,0.718,0.7947,0.7544,4296,3869,1687,1110,1.9875
1L,0.005,128,0.001,64,28,0.7478,0.7294,0.7767,0.7523,4199,3998,1558,1207,2.6505
1L,0.005,128,0.001,256,41,0.7479,0.7246,0.7888,0.7553,4264,3935,1621,1142,2.0116
1L,0.005,256,0.0,64,19,0.7459,0.7208,0.7913,0.7544,4278,3899,1657,1128,2.5856
1L,0.005,256,0.0,256,23,0.7417,0.73,0.7558,0.7427,4086,4045,1511,1320,1.9397
1L,0.005,256,0.0001,64,36,0.7483,0.7312,0.7743,0.7521,4186,4017,1539,1220,4.9691
1L,0.005,256,0.0001,256,34,0.748,0.7272,0.7826,0.7539,4231,3969,1587,1175,2.8532
1L,0.005,256,0.001,64,41,0.748,0.7221,0.795,0.7568,4298,3902,1654,1108,5.5468
1L,0.005,256,0.001,256,41,0.7473,0.7232,0.7899,0.7551,4270,3922,1634,1136,3.3493
1L,0.01,128,0.0,64,22,0.7464,0.7254,0.7817,0.7525,4226,3956,1600,1180,1.8801
1L,0.01,128,0.0,256,32,0.745,0.7144,0.8047,0.7569,4350,3817,1739,1056,1.4993
1L,0.01,128,0.0001,64,36,0.7471,0.7323,0.768,0.7497,4152,4038,1518,1254,3.1714
1L,0.01,128,0.0001,256,41,0.7465,0.7198,0.7958,0.7559,4302,3881,1675,1104,1.9403
1L,0.01,128,0.001,64,36,0.7465,0.7275,0.7769,0.7514,4200,3983,1573,1206,3.1436
1L,0.01,128,0.001,256,63,0.7482,0.72,0.801,0.7583,4330,3872,1684,1076,3.0158
1L,0.01,256,0.0,64,28,0.7448,0.7212,0.7863,0.7524,4251,3913,1643,1155,3.7284
1L,0.01,256,0.0,256,17,0.7451,0.7216,0.7867,0.7527,4253,3915,1641,1153,1.4362
1L,0.01,256,0.0001,64,28,0.7468,0.7281,0.7764,0.7515,4197,3989,1567,1209,3.7789
1L,0.01,256,0.0001,256,34,0.7458,0.7225,0.7869,0.7533,4254,3922,1634,1152,2.8395
1L,0.01,256,0.001,64,36,0.7452,0.7262,0.7758,0.7502,4194,3975,1581,1212,4.8956
1L,0.01,256,0.001,256,48,0.7478,0.7256,0.7856,0.7544,4247,3950,1606,1159,4.0342
1L,0.02,128,0.0,64,29,0.7444,0.7259,0.774,0.7491,4184,3976,1580,1222,2.5279
1L,0.02,128,0.0,256,27,0.7454,0.7162,0.8013,0.7564,4332,3839,1717,1074,1.2706
1L,0.02,128,0.0001,64,48,0.745,0.7276,0.7719,0.7491,4173,3994,1562,1233,4.4554
1L,0.02,128,0.0001,256,41,0.7477,0.7208,0.7971,0.757,4309,3887,1669,1097,1.9775
1L,0.02,128,0.001,64,28,0.7443,0.7246,0.7767,0.7498,4199,3960,1596,1207,2.5692
1L,0.02,128,0.001,256,36,0.746,0.7167,0.8021,0.757,4336,3842,1714,1070,1.7201
1L,0.02,256,0.0,64,28,0.7468,0.7243,0.7854,0.7536,4246,3940,1616,1160,3.7668
1L,0.02,256,0.0,256,30,0.7441,0.7189,0.79,0.7528,4271,3886,1670,1135,2.614
1L,0.02,256,0.0001,64,28,0.7447,0.7232,0.7814,0.7511,4224,3939,1617,1182,3.7939
1L,0.02,256,0.0001,256,30,0.7482,0.7252,0.788,0.7553,4260,3942,1614,1146,2.5722
1L,0.02,256,0.001,64,31,0.7449,0.7122,0.8102,0.758,4380,3786,1770,1026,4.0913
1L,0.02,256,0.001,256,41,0.7449,0.7248,0.7784,0.7506,4208,3958,1598,1198,3.4435
2L,0.005,"(128, 64)",0.0,128,23,0.7426,0.7243,0.7717,0.7473,4172,3968,1588,1234,2.739
2L,0.005,"(128, 64)",0.0001,128,44,0.7487,0.7204,0.8013,0.7587,4332,3875,1681,1074,4.6146
2L,0.01,"(128, 64)",0.0,128,23,0.7453,0.7115,0.8134,0.759,4397,3773,1783,1009,3.0825
2L,0.01,"(128, 64)",0.0001,128,39,0.7486,0.7219,0.7974,0.7578,4311,3895,1661,1095,4.1295
2L,0.005,"(256, 128)",0.0,128,23,0.7427,0.717,0.79,0.7517,4271,3870,1686,1135,6.0039
2L,0.005,"(256, 128)",0.0001,128,34,0.7463,0.7173,0.8015,0.7571,4333,3848,1708,1073,7.3826
2L,0.01,"(256, 128)",0.0,128,18,0.743,0.7231,0.7762,0.7487,4196,3949,1607,1210,4.2726
2L,0.01,"(256, 128)",0.0001,128,28,0.7473,0.7265,0.7821,0.7533,4228,3964,1592,1178,6.2181
2L,0.005,"(256, 64)",0.0,128,19,0.7437,0.7207,0.7839,0.751,4238,3914,1642,1168,3.2043
2L,0.005,"(256, 64)",0.0001,128,42,0.7452,0.7168,0.7991,0.7557,4320,3849,1707,1086,6.7672
2L,0.01,"(256, 64)",0.0,128,28,0.7463,0.7227,0.7878,0.7539,4259,3922,1634,1147,4.9132
2L,0.01,"(256, 64)",0.0001,128,45,0.7458,0.7134,0.8097,0.7585,4377,3798,1758,1029,7.3337
