k,metric,accuracy,precision,recall,f1,TP,TN,FP,FN,time_s
3,Euclidean,0.6894727239554825,0.679005722460658,0.7023677395486496,0.6904891798508819,3797,3761,1795,1609,9.20480990409851
5,Euclidean,0.7062579821200511,0.6939318665720369,0.7234554199038106,0.7083861619271871,3911,3831,1725,1495,9.419826745986938
7,Euclidean,0.7110016420361248,0.6965917076598735,0.7334443211246763,0.7145431609298973,3965,3829,1727,1441,9.90198016166687
9,Euclidean,0.7196679438058748,0.7030461270670147,0.7471328153903071,0.7244193345888262,4039,3850,1706,1367,9.402426958084106
11,Euclidean,0.7202152891808065,0.7032145960034752,0.7486126526082131,0.7252038347818296,4047,3848,1708,1359,9.605338096618652
3,Manhattan,0.6909323116219668,0.6841240875912409,0.6934887162412134,0.688774572845857,3749,3825,1731,1657,36.545490980148315
5,Manhattan,0.7068965517241379,0.6953500801710315,0.7219755826859046,0.708412741628097,3903,3846,1710,1503,38.0844509601593
7,Manhattan,0.7128261266192301,0.6990479548660085,0.7334443211246763,0.7158331828849972,3965,3849,1707,1441,41.34183979034424
9,Manhattan,0.7151979565772669,0.701553123896929,0.7352941176470589,0.7180274566473989,3975,3865,1691,1431,40.9849488735199
11,Manhattan,0.7198503922641853,0.7037166288605828,0.7460229374768775,0.7242524916943521,4033,3858,1698,1373,39.397165060043335
